account,classification,trades_count,total_pnl,avg_pnl,win_rate,avg_notional
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Unknown,1147,205716.568549,179.35184703487357,0.2842197035745423,2020.7974629468176
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,296,16085.032831999999,54.34132713513513,0.5574324324324325,3925.8273986486483
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,949,44613.374395,47.010931923076924,0.8008429926238145,3013.5917386722867
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,918,67704.92897,73.75264593681916,0.8823529411764706,4302.287734204793
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,149,14180.36306,95.17022187919463,0.9194630872483222,4066.4375167785233
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Unknown,7581,236511.707454,31.197956398100512,0.8112386228729719,2262.5187231235986
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,26,937.789615,36.06883134615385,0.6538461538461539,1975.7373076923077
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,12,1008.518954,84.04324616666666,0.4166666666666667,6957.879166666667
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,7,1093.05677,156.15096714285713,1.0,1828.1614285714284
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Unknown,1514,11861.077708,7.8342653289299875,0.4464993394980185,3762.763276089828
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,60,0.0,0.0,0.0,4414.397666666667
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,283,25515.534502,90.16089930035335,0.4098939929328622,1323.9820494699645
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,96,12788.744018,133.21608352083334,0.22916666666666666,2191.4045833333334
0x8170715b3b381dffb7062c0298972d4727a0a63b,Unknown,4162,-205925.403301,-49.47751160523787,0.38995675156174914,2233.0207856799616
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,8,0.0,0.0,0.0,2351.285
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,10,33.26141600000001,3.326141600000001,0.2,669.609
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,119,9146.077249,76.85779200840337,0.4117647058823529,50896.4131092437
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,363,1843.301845,5.077966515151515,0.34710743801652894,2235.8243801652893
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1,0.0,0.0,0.0,456.83
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Unknown,1410,54491.017396,38.64611162836879,0.3219858156028369,3620.5196879432624
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,291,2199.104352,7.557059628865979,0.30584192439862545,830.8578694158075
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,632,6318.000084,9.996835575949367,0.40664556962025317,984.2635601265822
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,923,3723.872005,4.034530882990249,0.3120260021668472,860.7866955579632
